vendor_id,vendor_performance_variability,shipping_route,warehouse_location,transportation_mode,political_instability_index,weather_condition_severity,disruption_occurred
V102,5.19,US-Asia,Shanghai,Sea,9.26,5.85,1
V105,2.05,Africa-Europe,Dubai,Air,3.79,4.46,0
V102,8.78,MiddleEast-Asia,New York,Road,1.74,2.23,1
V101,8.8,MiddleEast-Asia,Dubai,Air,9.13,6.53,1
V104,8.71,Africa-Europe,Berlin,Rail,0.93,6.86,1
V104,2.39,US-Asia,Mumbai,Road,7.22,6.85,1
V104,4.51,MiddleEast-Asia,New York,Sea,1.4,0.27,0
V105,9.85,Africa-Europe,Shanghai,Road,3.89,8.99,1
V101,7.72,US-Asia,Berlin,Rail,4.12,3.38,1
V105,0.27,Africa-Europe,New York,Air,1.59,7.44,0
V105,0.65,Africa-Europe,Shanghai,Air,9.23,7.6,1
V101,4.64,MiddleEast-Asia,New York,Sea,0.03,6.51,0
V101,9.09,US-Asia,Berlin,Air,8.94,3.95,1
V101,5.39,MiddleEast-Asia,New York,Air,8.84,6.08,1
V101,4.98,Asia-Europe,Dubai,Rail,3.17,0.4,0
V104,1.05,Asia-Europe,Berlin,Road,7.04,7.62,1
V103,6.57,US-Asia,New York,Air,2.53,1,0
V103,8.22,Africa-Europe,Mumbai,Rail,7.59,3.97,1
V101,3.8,MiddleEast-Asia,New York,Rail,5.61,1.04,0
V103,7.76,MiddleEast-Asia,Dubai,Sea,3,8.37,1
V103,9.64,US-Asia,Shanghai,Rail,4,5.5,1
V101,2.04,US-Asia,Shanghai,Sea,6.9,6.91,1
V103,5.23,Asia-Europe,Shanghai,Air,9.06,6.83,1
V105,2.87,Europe-US,Mumbai,Sea,1.31,8.42,1
V102,7.93,US-Asia,Dubai,Rail,5.71,1.33,1
V102,5.78,Europe-US,Berlin,Road,2.54,6.6,1
V101,6.35,US-Asia,Shanghai,Road,8.01,5.75,1
V104,7.98,Africa-Europe,Dubai,Air,0.7,0.31,0
V101,3.96,Africa-Europe,New York,Air,6.89,2.01,1
V104,9.15,Asia-Europe,Mumbai,Road,1.75,2.68,1
V102,5.33,Asia-Europe,Dubai,Sea,5.96,0.73,0
V101,1.58,Europe-US,Dubai,Air,8.36,3.55,1
V106,6.96,US-Asia,Berlin,Rail,7.55,0.27,1
V105,7.93,MiddleEast-Asia,Dubai,Air,7.53,5.53,1
V103,3.17,Asia-Europe,Berlin,Sea,5.18,2.12,0
V104,8.57,MiddleEast-Asia,Mumbai,Air,8.91,2.87,1
V106,9.06,MiddleEast-Asia,Mumbai,Rail,5.88,9.1,1
V103,2.77,US-Asia,New York,Rail,9.18,5.03,1
V103,9.84,Europe-US,Berlin,Rail,5.47,2.69,1
V101,1.41,US-Asia,Berlin,Sea,5.06,5.98,0
V103,2.02,Asia-Europe,Shanghai,Sea,2.22,2.02,0
V105,1.84,MiddleEast-Asia,Shanghai,Rail,5.45,0.74,0
V106,8.94,US-Asia,New York,Rail,1.41,0.21,0
V103,6.54,US-Asia,Mumbai,Sea,8.7,9.52,1
V101,1.52,US-Asia,Singapore,Sea,6.76,7.25,1
V105,4.4,Asia-Europe,Shanghai,Sea,9.94,8,1
V102,6.15,Europe-US,Dubai,Road,0.92,9.81,1
V106,0.83,US-Asia,Mumbai,Sea,2.41,9.32,1
V103,8.82,Asia-Europe,Singapore,Rail,8.77,7.37,1
V101,8.04,MiddleEast-Asia,Dubai,Road,3.95,6.94,1
V102,5.05,Africa-Europe,Berlin,Sea,4.66,3.37,1
V102,9.67,Asia-Europe,Mumbai,Rail,8.61,1.04,1
V104,4.18,Africa-Europe,New York,Air,5.22,5.74,1
V105,9.84,US-Asia,Berlin,Road,1.93,5.76,1
V103,6.68,US-Asia,Berlin,Rail,8.92,9.52,1
V101,6.35,Asia-Europe,Dubai,Air,0.31,4.43,0
V104,1.66,Africa-Europe,Berlin,Rail,8.95,6.91,1
V105,8.82,US-Asia,Shanghai,Sea,0.51,5.75,1
V104,4.27,MiddleEast-Asia,Mumbai,Sea,6.66,1.77,1
V106,1.62,Europe-US,Shanghai,Air,0.72,5.92,0
V105,0.13,Europe-US,Dubai,Sea,7.06,5.4,1
V105,5.6,US-Asia,Singapore,Rail,0.34,4.94,0
V103,5.27,Africa-Europe,Dubai,Air,8.42,5.13,1
V105,7.19,US-Asia,Mumbai,Rail,4.66,1.64,1
V104,8.9,Africa-Europe,Berlin,Rail,0.93,4.63,1
V105,0.79,MiddleEast-Asia,New York,Rail,7.07,6.06,1
V103,7.31,Africa-Europe,Dubai,Sea,4.89,4.89,1
V103,1.87,US-Asia,Mumbai,Sea,1.91,4.89,0
V106,8.58,MiddleEast-Asia,New York,Rail,0.16,0.78,0
V104,8.19,Asia-Europe,Berlin,Road,4.18,1.91,1
V102,5.41,Europe-US,Singapore,Rail,0.86,3.21,0
V102,7.1,US-Asia,Dubai,Rail,0.94,4.19,0
V105,3.14,US-Asia,Singapore,Air,2.67,5.94,0
V106,4.71,US-Asia,Mumbai,Rail,6.3,8.63,1
V101,8.22,MiddleEast-Asia,Singapore,Sea,5.3,1.59,1
V105,4.59,Asia-Europe,Singapore,Air,0.69,0.15,0
V106,3.58,Africa-Europe,Mumbai,Road,9.68,4.49,1
V104,4.94,Asia-Europe,Mumbai,Air,8.87,4.32,1
V104,8.28,MiddleEast-Asia,Dubai,Road,2.59,5.52,1
V104,3.35,US-Asia,Singapore,Air,1.22,8.33,1
V104,1.74,Europe-US,New York,Air,9.42,8.02,1
V104,7.12,US-Asia,Mumbai,Road,4.61,1,1
V106,8.26,Africa-Europe,Berlin,Sea,3.11,9.34,1
V106,1.01,Europe-US,Singapore,Sea,4.9,1.1,0
V103,2.4,US-Asia,Mumbai,Sea,7.73,6.35,1
V102,1.42,Europe-US,New York,Air,1.68,6.72,0
V104,3.48,Asia-Europe,Dubai,Rail,7.67,6.8,1
V101,4.5,MiddleEast-Asia,Singapore,Air,7.49,2.65,1
V106,7.49,US-Asia,Mumbai,Rail,5.39,3.3,1
V101,6.51,Africa-Europe,Mumbai,Rail,8.66,5.49,1
V101,6.21,Asia-Europe,Berlin,Sea,1.32,2,0
V101,3.52,US-Asia,Berlin,Rail,5.95,0.2,0
V103,8.41,Asia-Europe,Singapore,Air,4.49,5.62,1
V106,4.71,Africa-Europe,Mumbai,Air,4.22,4.65,1
V101,9.79,US-Asia,Singapore,Sea,2.53,6.57,1
V104,6.34,Africa-Europe,Mumbai,Road,3.72,1.47,0
V105,1.26,Europe-US,Berlin,Air,1.08,8.41,0
V101,6.76,Africa-Europe,New York,Rail,2.52,1.46,0
V103,3.25,Europe-US,Shanghai,Air,2.72,8.91,1
V106,6.86,US-Asia,Shanghai,Air,7.21,4.5,1
V103,0.7,Europe-US,Mumbai,Air,0.49,5.5,0
V101,1.75,US-Asia,Berlin,Road,6.51,8.97,1
V106,8.56,US-Asia,Dubai,Rail,2.21,3,1
V105,2.27,MiddleEast-Asia,Dubai,Sea,0.82,1.82,0
V101,8.37,US-Asia,Shanghai,Air,3.01,4.46,1
V103,2.79,Europe-US,New York,Rail,2.24,2.44,0
V102,6.43,MiddleEast-Asia,Shanghai,Rail,5.52,5.28,1
V104,6.94,MiddleEast-Asia,Mumbai,Sea,3.57,2.75,1
V103,5.13,US-Asia,New York,Air,9.66,8.64,1
V106,3.05,Africa-Europe,Dubai,Road,9.64,6.07,1
V101,2.13,Africa-Europe,Berlin,Rail,4.44,0,0
V104,0.33,MiddleEast-Asia,Berlin,Sea,7.95,8.05,1
V101,3.04,US-Asia,Mumbai,Road,0.13,3.3,0
V106,6.53,Africa-Europe,Shanghai,Rail,5.48,3.2,1
V101,9.38,US-Asia,Mumbai,Air,7.43,3.83,1
V102,8.71,US-Asia,Berlin,Rail,2.17,6.3,1
V104,7.66,MiddleEast-Asia,Dubai,Road,0.61,4.42,1
V104,7.88,MiddleEast-Asia,Berlin,Road,1.56,6.29,1
V106,6.65,Asia-Europe,New York,Air,4.42,1.47,1
V102,2.6,Africa-Europe,Singapore,Air,5.06,9.7,1
V103,9.07,Africa-Europe,Berlin,Sea,3.81,7.3,1
V101,6.71,Africa-Europe,Berlin,Air,4.4,2.5,1
V105,5.6,Europe-US,Singapore,Sea,4.7,7.24,1
V101,1.11,US-Asia,New York,Road,7.69,5.75,1
V101,4.47,MiddleEast-Asia,Shanghai,Road,1.05,1.09,0
V103,4.6,Africa-Europe,Berlin,Rail,7.69,1.78,1
V101,8.65,Asia-Europe,Mumbai,Rail,6.89,0.41,1
V102,5.47,Africa-Europe,Berlin,Sea,7.42,8.09,1
V102,3.8,US-Asia,Mumbai,Air,7.34,5.52,1
V104,9.77,US-Asia,New York,Air,4.71,3.17,1
V106,1.11,MiddleEast-Asia,Berlin,Rail,2.11,1.26,0
V105,4.23,Europe-US,New York,Road,5.37,4.84,1
V101,0.42,MiddleEast-Asia,New York,Sea,9.58,5.25,1
V101,7.4,Africa-Europe,Shanghai,Road,5.89,7.02,1
V103,9.18,Asia-Europe,Berlin,Road,0.11,9.7,1
V106,2.8,MiddleEast-Asia,Mumbai,Air,0.6,4.35,0
V102,8.58,Europe-US,Mumbai,Sea,9.93,4.06,1
V105,2.92,MiddleEast-Asia,Berlin,Road,0.72,3.7,0
V104,9.11,US-Asia,Singapore,Rail,0.46,8.27,1
V102,7.54,Africa-Europe,Shanghai,Rail,3.53,1.56,1
V106,8.05,Africa-Europe,Shanghai,Air,9.69,3.44,1
V104,0.18,Africa-Europe,Shanghai,Rail,3.19,7.25,0
V103,9.63,Africa-Europe,Mumbai,Rail,4.1,0.16,1
V103,7.27,Africa-Europe,New York,Road,6.34,2.89,1
V101,3.05,Africa-Europe,Singapore,Rail,0.24,6.41,0
V106,8.29,Asia-Europe,Shanghai,Rail,8.98,1.86,1
V105,2.82,Europe-US,Mumbai,Road,5.19,3.03,0
V104,8.73,Africa-Europe,Mumbai,Air,4.67,4.86,1
V102,1.13,Europe-US,New York,Air,8.61,4.22,1
V106,7.04,Africa-Europe,Berlin,Sea,9.53,1.06,1
V106,5.41,MiddleEast-Asia,Berlin,Rail,4.23,9.38,1
V103,0.97,Africa-Europe,Shanghai,Road,1.72,0.44,0
V101,2.42,US-Asia,Shanghai,Sea,8.16,7.5,1
V101,0.12,Asia-Europe,Singapore,Air,4.03,0.71,0
V104,4.69,MiddleEast-Asia,New York,Air,9.36,4.67,1
V103,3.01,MiddleEast-Asia,Shanghai,Road,9.5,1.75,1
V106,5.98,US-Asia,New York,Sea,1.15,1.41,0
V105,2.97,Africa-Europe,Mumbai,Sea,9.57,1.26,1
V103,3,Asia-Europe,Shanghai,Road,3.68,4.53,0
V104,7.43,MiddleEast-Asia,Mumbai,Road,6.46,5.15,1
V104,0.48,Asia-Europe,Dubai,Sea,0.35,1.33,0
V103,9.03,MiddleEast-Asia,New York,Air,8.89,9.79,1
V104,8.52,Africa-Europe,Dubai,Rail,6.42,2.58,1
V103,6.68,MiddleEast-Asia,Shanghai,Air,6.44,4.59,1
V102,5.93,MiddleEast-Asia,Mumbai,Road,9.02,2.16,1
V103,8.92,Europe-US,Shanghai,Sea,5.08,4.94,1
V103,1.85,Africa-Europe,Dubai,Sea,4.11,7.56,1
V104,0.79,US-Asia,Shanghai,Rail,8.66,5.21,1
V104,2.4,US-Asia,Singapore,Sea,7.42,2.86,1
V101,7.95,Africa-Europe,Berlin,Rail,9.49,2.48,1
V101,0.35,US-Asia,Dubai,Air,9.4,7.59,1
V102,5.83,Africa-Europe,Shanghai,Air,3.82,1.18,0
V101,9.95,US-Asia,Mumbai,Sea,4.47,3.7,1
V103,8.56,Europe-US,Shanghai,Sea,2.56,1.51,1
V104,5.21,US-Asia,Mumbai,Road,6.61,2.58,1
V101,0.64,MiddleEast-Asia,Berlin,Road,3.65,1.53,0
V101,8.31,Africa-Europe,Shanghai,Sea,7.86,8.87,1
V102,5.99,Asia-Europe,Berlin,Sea,1.22,7.32,1
V106,1.15,Asia-Europe,Dubai,Air,1.16,5.61,0
V102,0.94,Africa-Europe,Mumbai,Sea,2.04,2.24,0
V103,9.1,Europe-US,Singapore,Road,0.84,5.1,1
V104,6.69,US-Asia,Dubai,Air,6.2,5.21,1
V102,8.29,Europe-US,Mumbai,Rail,1.47,5.9,1
V101,8.79,Asia-Europe,Berlin,Road,1.6,0.6,0
V104,5.72,Africa-Europe,New York,Road,0.14,9.73,1
V104,5.17,Africa-Europe,Shanghai,Air,7.82,4.65,1
V101,4.3,Europe-US,Berlin,Rail,8.12,9.27,1
V102,3.17,Europe-US,Mumbai,Road,1.62,0.1,0
V101,4.35,US-Asia,Mumbai,Sea,7.4,2.48,1
V106,7.74,MiddleEast-Asia,Mumbai,Road,4.34,1.04,1
V104,6.02,MiddleEast-Asia,Mumbai,Air,2.4,7.7,1
V105,8.93,US-Asia,Shanghai,Air,6.21,3.2,1
V105,4.43,MiddleEast-Asia,Dubai,Air,1.78,8.4,1
V103,6.07,Asia-Europe,Singapore,Road,7.57,8.32,1
V101,6.31,MiddleEast-Asia,New York,Rail,0.48,6.68,1
V101,5.92,US-Asia,Shanghai,Sea,9.59,6.66,1
V103,7.03,MiddleEast-Asia,Mumbai,Air,0.72,7,1
V103,2.37,Africa-Europe,Shanghai,Rail,5.79,6.74,1
V103,5.12,Europe-US,Berlin,Sea,9.02,3.87,1
V104,1.04,Asia-Europe,Singapore,Air,0.12,6.83,0
V106,3.85,Africa-Europe,Mumbai,Sea,4.99,8.97,1
V101,4.88,Africa-Europe,New York,Sea,3.5,3.33,0
V104,6.52,US-Asia,Mumbai,Rail,5.8,9.45,1
V103,9.51,Europe-US,Singapore,Sea,2.25,0.14,0
V101,6.01,Europe-US,New York,Air,0.65,3.49,0
V104,7.44,Asia-Europe,Singapore,Rail,6.26,1.32,1
V106,5.06,US-Asia,New York,Road,4.17,1.27,0
V104,6.34,Asia-Europe,Dubai,Road,6.22,8.15,1
V106,0.71,MiddleEast-Asia,Dubai,Rail,2.11,9.18,0
V103,2.54,Africa-Europe,Shanghai,Road,3.39,7.78,1
V106,3.62,Asia-Europe,Shanghai,Sea,5.62,9.77,1
V101,4.72,Africa-Europe,New York,Air,5.93,2.16,1
V103,0.46,US-Asia,Mumbai,Sea,3.72,1.41,0
V101,1.4,MiddleEast-Asia,Berlin,Rail,2.8,5.21,0
V105,2.77,US-Asia,Berlin,Air,2.74,8.29,1
V102,9.72,MiddleEast-Asia,Mumbai,Rail,1.75,0.4,0
V106,3.31,MiddleEast-Asia,Mumbai,Rail,3.25,9.96,1
V102,4.82,Africa-Europe,Dubai,Rail,1.99,6.02,1
V102,1.96,US-Asia,Berlin,Sea,6.34,9.79,1
V106,6.11,US-Asia,New York,Air,5.69,3.65,1
V103,2.81,Asia-Europe,Singapore,Air,3.83,4.58,0
V105,2.07,US-Asia,Shanghai,Air,3.26,7.52,1
V101,5.17,Asia-Europe,Singapore,Sea,2.38,7.93,1
V104,0.06,Europe-US,Dubai,Road,5.35,2.33,0
V101,0.08,Europe-US,Berlin,Sea,9.19,9.3,1
V104,2.19,Europe-US,Mumbai,Sea,6.86,8.67,1
V101,0.37,US-Asia,Berlin,Rail,7.44,0.18,0
V106,1.08,US-Asia,New York,Air,8.34,1.29,0
V105,3.39,Asia-Europe,Dubai,Air,3.52,4.96,0
V104,8.03,MiddleEast-Asia,Mumbai,Road,0.63,4.61,1
V103,5.72,Asia-Europe,Singapore,Road,6.23,7.08,1
V101,5.13,Europe-US,New York,Rail,1.89,0.9,0
V101,2.93,Asia-Europe,Singapore,Air,5.69,6.45,1
V104,9.32,MiddleEast-Asia,Shanghai,Road,7.4,6.16,1
V103,3.97,US-Asia,Dubai,Road,7.84,2.34,1
V103,0.87,Asia-Europe,New York,Air,3.02,5.42,0
V106,6.17,Europe-US,New York,Sea,5.12,2.22,1
V106,1.14,Europe-US,Singapore,Road,6.21,1.47,0
V106,3.45,US-Asia,Mumbai,Air,8.19,5.73,1
V106,5.07,Asia-Europe,Shanghai,Road,7.61,9.77,1
V106,8.74,MiddleEast-Asia,Singapore,Rail,9.88,2.37,1
V106,4.94,US-Asia,New York,Road,0.08,3.55,0
V105,7.02,Asia-Europe,Dubai,Air,4.37,2.57,1
V103,9.93,Africa-Europe,New York,Road,2.56,2.66,1
V106,1.31,Europe-US,Berlin,Rail,1.2,4.04,0
V103,2.75,MiddleEast-Asia,Dubai,Rail,9.12,7.02,1
V103,3.95,MiddleEast-Asia,Dubai,Road,9.98,0.39,1
V102,4.22,MiddleEast-Asia,New York,Road,1.81,9.57,1
V105,4.11,Europe-US,Mumbai,Rail,0.38,0.46,0
V106,9.08,Asia-Europe,Dubai,Rail,2.75,8.81,1
V101,7.14,US-Asia,Berlin,Sea,8.35,8.94,1
V104,6.08,Asia-Europe,Singapore,Sea,2.94,5.24,1
V101,3.09,US-Asia,Mumbai,Rail,0.57,1.37,0
V105,8.24,MiddleEast-Asia,Mumbai,Road,0.52,5.65,1
V104,9.55,Asia-Europe,Mumbai,Air,4.27,6.29,1
V105,8.21,MiddleEast-Asia,Dubai,Road,9.32,8.58,1
V103,0.02,Africa-Europe,Mumbai,Road,2.86,5.51,0
V104,6.36,MiddleEast-Asia,New York,Sea,4.27,4.11,1
V103,0.51,MiddleEast-Asia,Mumbai,Sea,1.02,8.38,0
V101,2.58,US-Asia,Berlin,Sea,4.94,9.81,1
V101,0.6,Africa-Europe,Shanghai,Rail,6.97,6.45,1
V104,6.04,MiddleEast-Asia,Berlin,Rail,2.71,8.74,1
V104,6.87,MiddleEast-Asia,Dubai,Road,2.97,5.99,1
V106,1.14,Africa-Europe,Mumbai,Road,8.42,6.9,1
V105,3.84,Africa-Europe,Mumbai,Air,0.1,6.88,0
V106,4.56,Asia-Europe,New York,Road,6.36,7.05,1
V105,3.69,US-Asia,Singapore,Road,3.94,3.21,0
V106,1.21,Africa-Europe,Mumbai,Sea,2.98,5.76,0
V103,4.19,Africa-Europe,Berlin,Sea,6.58,5.94,1
V104,7.51,Europe-US,Dubai,Sea,8.35,3.15,1
V101,0.71,Africa-Europe,Shanghai,Sea,5.58,3.5,0
V105,0.8,US-Asia,Mumbai,Sea,0.31,7.62,0
V105,3.55,MiddleEast-Asia,Shanghai,Air,4.61,5.83,1
V101,9.42,MiddleEast-Asia,Mumbai,Air,4.63,1.49,1
V106,6.69,MiddleEast-Asia,Dubai,Air,5.44,8.38,1
V105,6.79,MiddleEast-Asia,Singapore,Sea,6.71,8.83,1
V103,3.62,Europe-US,Berlin,Rail,0.19,4.66,0
V104,5.94,Africa-Europe,Dubai,Sea,5.02,2.09,1
V101,0.1,MiddleEast-Asia,Shanghai,Sea,5.88,9.48,1
V104,6.36,Asia-Europe,Mumbai,Air,3.43,8.82,1
V105,9.13,MiddleEast-Asia,Shanghai,Sea,6.68,2.44,1
V105,6.13,Africa-Europe,Berlin,Air,2.28,0.96,0
V101,8.74,MiddleEast-Asia,Dubai,Sea,3.17,4.41,1
V103,7.24,Europe-US,Shanghai,Road,9.63,6.76,1
V102,1.21,US-Asia,Shanghai,Rail,3.48,1.75,0
V101,9.02,US-Asia,Berlin,Rail,3.47,5.13,1
V102,0.66,Africa-Europe,Mumbai,Air,5.96,4.25,0
V106,5.34,US-Asia,Shanghai,Road,9.71,8.91,1
V102,1.42,US-Asia,Berlin,Rail,9.83,4.3,1
V103,0.12,Asia-Europe,Mumbai,Air,5.8,5.34,0
V106,4.22,Africa-Europe,Singapore,Sea,0.01,9.55,1
V102,2.95,Africa-Europe,Mumbai,Sea,9.01,3,1
V106,4.86,US-Asia,Singapore,Road,5.7,2.89,1
V102,5.77,US-Asia,Dubai,Rail,3.66,8,1
V103,0.44,US-Asia,Berlin,Sea,8.29,2.78,0
V102,1.23,Europe-US,Mumbai,Air,4,8.32,1
V102,5.59,MiddleEast-Asia,Singapore,Sea,0.34,0.96,0
V102,3.43,Europe-US,Singapore,Sea,8.21,1.11,1
V101,7.29,Africa-Europe,Dubai,Rail,5.46,9.01,1
V101,6.52,Asia-Europe,New York,Rail,3.38,5.41,1
V101,8.46,MiddleEast-Asia,Berlin,Air,2.51,7.19,1
V103,6.92,Asia-Europe,New York,Road,5.94,2.25,1
V106,4.3,Africa-Europe,Mumbai,Road,2.08,1.66,0
V105,6.73,Africa-Europe,Berlin,Sea,3.24,8.35,1
V102,2.75,Asia-Europe,Dubai,Air,6.37,3.59,1
V102,3.06,Asia-Europe,Mumbai,Road,8.82,4.55,1
V103,7.89,Asia-Europe,Berlin,Road,5.33,0.28,1
V102,4.46,Africa-Europe,Berlin,Sea,7.59,3.86,1
V101,7.98,US-Asia,New York,Air,7.63,7.7,1
V105,8.22,Asia-Europe,Mumbai,Road,6.64,8.21,1
V104,8.58,MiddleEast-Asia,Dubai,Rail,2.46,6.99,1
V102,9.17,Africa-Europe,Dubai,Rail,8.67,6.92,1
V101,4.31,Europe-US,Mumbai,Sea,4.36,5.06,1
V104,3.19,Europe-US,Mumbai,Sea,0.44,5.38,0
V105,5.82,MiddleEast-Asia,Singapore,Sea,2.45,7.43,1
V104,3.71,US-Asia,Shanghai,Sea,7.66,2.47,1
V101,6.01,Asia-Europe,New York,Road,0.69,2.32,0
V106,7.06,Africa-Europe,Mumbai,Air,1.47,9.5,1
V106,6.88,Asia-Europe,Mumbai,Sea,6.94,0.28,1
V104,3.75,Africa-Europe,Shanghai,Sea,8.93,1.39,1
V103,1.67,Europe-US,Shanghai,Road,6.34,5.7,1
V104,4.31,Asia-Europe,Berlin,Sea,2.22,7.38,1
V102,1.43,MiddleEast-Asia,Dubai,Sea,0.53,5.38,0
V102,8.9,US-Asia,New York,Air,6.15,3.55,1
V106,3.46,MiddleEast-Asia,Berlin,Rail,0.47,9.78,1
V103,1.54,US-Asia,Mumbai,Sea,6.13,7.04,1
